scoreline,first_set,is_straight_sets,num_sets,set1_score,set2_score,set3_score,observed_all_time,observed_2024,count_all_time,count_atp_all_time,count_wta_all_time,count_2024,count_atp_2024,count_wta_2024
0-6 6-3 6-3,0-6,FALSE,3,0-6,6-3,6-3,TRUE,FALSE,52,18,34,0,0,0
1-6 6-3 6-3,1-6,FALSE,3,1-6,6-3,6-3,TRUE,TRUE,171,69,102,4,1,3
2-6 6-3 6-3,2-6,FALSE,3,2-6,6-3,6-3,TRUE,TRUE,282,117,165,3,1,2
3-6 6-3 6-3,3-6,FALSE,3,3-6,6-3,6-3,TRUE,TRUE,489,253,236,13,5,8
4-6 6-3 6-3,4-6,FALSE,3,4-6,6-3,6-3,TRUE,TRUE,585,303,282,13,3,10
5-7 6-3 6-3,5-7,FALSE,3,5-7,6-3,6-3,TRUE,TRUE,230,118,112,3,2,1
6-7 6-3 6-3,6-7,FALSE,3,6-7,6-3,6-3,TRUE,TRUE,304,188,116,4,1,3
0-6 6-4 6-3,0-6,FALSE,3,0-6,6-4,6-3,TRUE,TRUE,59,24,35,1,0,1
1-6 6-4 6-3,1-6,FALSE,3,1-6,6-4,6-3,TRUE,TRUE,192,92,100,3,0,3
2-6 6-4 6-3,2-6,FALSE,3,2-6,6-4,6-3,TRUE,TRUE,293,145,148,6,1,5
3-6 6-4 6-3,3-6,FALSE,3,3-6,6-4,6-3,TRUE,TRUE,465,241,224,11,6,5
4-6 6-4 6-3,4-6,FALSE,3,4-6,6-4,6-3,TRUE,TRUE,535,278,257,16,10,6
5-7 6-4 6-3,5-7,FALSE,3,5-7,6-4,6-3,TRUE,TRUE,239,115,124,6,2,4
6-7 6-4 6-3,6-7,FALSE,3,6-7,6-4,6-3,TRUE,TRUE,338,224,114,6,5,1
0-6 7-5 6-3,0-6,FALSE,3,0-6,7-5,6-3,TRUE,FALSE,28,10,18,0,0,0
1-6 7-5 6-3,1-6,FALSE,3,1-6,7-5,6-3,TRUE,TRUE,121,50,71,2,0,2
2-6 7-5 6-3,2-6,FALSE,3,2-6,7-5,6-3,TRUE,TRUE,179,90,89,3,1,2
3-6 7-5 6-3,3-6,FALSE,3,3-6,7-5,6-3,TRUE,TRUE,282,168,114,5,2,3
4-6 7-5 6-3,4-6,FALSE,3,4-6,7-5,6-3,TRUE,TRUE,307,162,145,7,4,3
5-7 7-5 6-3,5-7,FALSE,3,5-7,7-5,6-3,TRUE,TRUE,108,56,52,1,0,1
6-7 7-5 6-3,6-7,FALSE,3,6-7,7-5,6-3,TRUE,TRUE,166,100,66,4,2,2
0-6 7-6 6-3,0-6,FALSE,3,0-6,7-6,6-3,TRUE,TRUE,29,12,17,2,2,0
